name,color,width,height,rabbet,pcs,ft,condition,img_url,category
L043-551,Espresso,3  3/8 ,1  9/16,  7/16,8,76,N/A,https://i.postimg.cc/rp00Nqf9/L043-551.jpg,Greater than 3 inches
L045-560,Espresso,4  1/16,1  3/8 ,  7/16,8,76,N/A,https://i.postimg.cc/tgK1r8fG/L045-560.jpg,Greater than 3 inches
L046-265,Silver,3  1/4 ,1 13/16,  1/2 ,8,76,N/A,https://i.postimg.cc/cHfvPXyg/L046-265.jpg,Greater than 3 inches
L046-BR180,Walnut,3  1/8 ,1  3/4 ,  1/2 ,8,76,N/A,https://i.postimg.cc/VkH0tJW6/L046-BR180.jpg,Greater than 3 inches
L059-3053,Espresso,3  1/18,1  7/16,  7/16,8,76,N/A,https://i.postimg.cc/kMFVc1vL/L059-3053.jpg,Greater than 3 inches
L061-4017,Charcoal,3  3/16,1  3/4 ,  3/8 ,8,76,N/A,https://i.postimg.cc/3JtkMk6B/L061-4017.jpg,Greater than 3 inches
L061-BR1,Espresso,3  3/16,1  3/4 ,  3/8 ,8,76,N/A,https://i.postimg.cc/x8Rc18d9/L061-BR1.jpg,Greater than 3 inches
L062-BR210,Maple,3  9/16,1  9/16,  9/16,6,57,N/A,https://i.postimg.cc/ZnyKB61B/img-soon.jpg,Greater than 3 inches
L062-BR223,Walnut,3  9/16,1  9/16,  9/16,6,57,N/A,https://i.postimg.cc/ZnyKB61B/img-soon.jpg,Greater than 3 inches
L072-1089,Gold,3  3/16,1  3/16,  3/8 ,12,114,N/A,https://i.postimg.cc/90VD2ZCx/L072-1089.jpg,Greater than 3 inches
L072-2089,Silver,3  3/16,1  3/16,  3/8 ,12,114,N/A,https://i.postimg.cc/pXWm1f0r/L072-2089.jpg,Greater than 3 inches
L088-BK1,Black,3  3/4 ,1  3/16,  1/2 ,12,114,N/A,https://i.postimg.cc/yNZxSvNQ/L088-BK1.jpg,Greater than 3 inches
L090-3058,Burgundy,3,1  3/8 ,  1/2 ,12,114,N/A,https://i.postimg.cc/Vk5dzYPc/L090-3058.jpg,Greater than 3 inches
L090-5058,Black,3,1  3/8 ,  1/2 ,12,114,N/A,https://i.postimg.cc/YCVj9JtL/L090-5058.jpg,Greater than 3 inches
L090-BR300,Burnt,3,1  3/8 ,  1/2 ,12,114,N/A,https://i.postimg.cc/ZnyKB61B/img-soon.jpg,Greater than 3 inches
L090-S329-2,Silver,3,1  3/8 ,  1/2 ,12,114,N/A,https://i.postimg.cc/ZnyKB61B/img-soon.jpg,Greater than 3 inches
L1002-BR216,Chestnut,4  1/4 ,1  1/4 ,  7/16,8,76,N/A,https://i.postimg.cc/jdSjhs5J/L1002-BR216.jpg,Greater than 3 inches
L1002-S269,Grey -Silver,4  1/4 ,1  1/4 ,  7/16,8,76,N/A,https://i.postimg.cc/MK3pPhM3/L1002-S269.jpg,Greater than 3 inches
L1003-BR216,Espresso,3  3/8 ,1,  3/8 ,12,114,N/A,https://i.postimg.cc/g2wkfN3z/L1003-BR216.jpg,Greater than 3 inches
L1003-G278,Gold,3  3/8 ,1,  3/8 ,12,114,N/A,https://i.postimg.cc/YCJqkYx1/L1003-G278.jpg,Greater than 3 inches
L1003R-BR268,Grey,3  3/8 ,1,  3/8 ,12,114,N/A,https://i.postimg.cc/QM1NMC6v/L1003-R-BR268.jpg,Greater than 3 inches
L1003R-BR300,Burnt,3  3/8 ,1,  3/8 ,12,114,N/A,https://i.postimg.cc/wvzqRzZM/L1003-R-BR300.jpg,Greater than 3 inches
L1003R-IV48,Ivory,3  3/8 ,1,  3/8 ,12,114,N/A,https://i.postimg.cc/1X5yMH9Z/L1003-R-IV48.jpg,Greater than 3 inches
L1003-S278,Silver,3  3/8 ,1,  3/8 ,12,114,N/A,https://i.postimg.cc/QtqXpPZb/L1003-S278.jpg,Greater than 3 inches
L1006C-G94,N/A,N/A,N/A,N/A,8,76,N/A,https://i.postimg.cc/ZnyKB61B/img-soon.jpg,Greater than 3 inches
L1101-BR229,Walnut,3  5/8 ,1  5/8 ,  3/8 ,8,76,N/A,https://i.postimg.cc/FzWN6LRk/L1101-BR229.jpg,Greater than 3 inches
L1105ESC-BK,Black,3 15/16,1  5/8 ,1,6,57,N/A,https://i.postimg.cc/QN08CRbN/L1105-ESC-BK.jpg,Greater than 3 inches
L1302-BK112,Black,3  1/2 ,1  1/2 ,  1/2 ,8,76,N/A,https://i.postimg.cc/8Pc16tKR/L1302-BK112.jpg,Greater than 3 inches
L1302-BR317,Bronze,3  1/2 ,1  1/2 ,  1/2 ,8,76,N/A,https://i.postimg.cc/X7PncdmT/L1302-BR317.jpg,Greater than 3 inches
L1302-BR333,Walnut,3  1/2 ,1  1/2 ,  1/2 ,8,76,N/A,https://i.postimg.cc/K8gx94y4/L1302-BR333.jpg,Greater than 3 inches
L1302-BR335,Maple,3  1/2 ,1  1/2 ,  1/2 ,8,76,N/A,https://i.postimg.cc/R05929Md/L1302-BR335.jpg,Greater than 3 inches
L1302-G336,Champagne,3  1/2 ,1  1/2 ,  1/2 ,8,76,N/A,https://i.postimg.cc/PqWhjcJj/L1302-G336.jpg,Greater than 3 inches
L1302-S336,Silver,3  1/2 ,1  1/2 ,  1/2 ,8,76,N/A,https://i.postimg.cc/d1nY7yGN/L1302-S336.jpg,Greater than 3 inches
L1302S-BK112,Espresso,2  1/4 ,1  3/8 ,  3/8 ,18,171,N/A,https://i.postimg.cc/mkDG7gwL/L1302-S-BK112.jpg,Between 2 and 3 inches
L1302S-BR317,Bronze,2  1/4 ,1  3/8 ,  3/8 ,18,171,N/A,https://i.postimg.cc/hv5RsRy9/L1302-S-BR317.jpg,Between 2 and 3 inches
