name,color,width,height,rabbet,pcs,ft,condition,img_url
L005S-BRN,Walnut,N/A,N/A,N/A,6,57,N/A,https://i.postimg.cc/FRSSNhcK/L005s-BRN.jpg
L029C-BK109,Black,3  3/8 ,1  3/8 ,  7/8 ,8,76,N/A,https://i.postimg.cc/wMdmBncQ/L029-C-BK109.jpg
L029C-BR300,Burnt,3  3/8 ,1  3/8 ,  7/8 ,8,76,N/A,https://i.postimg.cc/Y0fmL8dK/L029-C-BR300.jpg
L029C-BR309,,3  3/8 ,1  3/8 ,  7/8 ,8,76,N/A,https://thisisnotavalidurlthisisjustaplaceholderforthepicturefunctiontowork.cc/randomimagename.jpg
L029C-IV48,Ivory,3  3/8 ,1  3/8 ,  7/8 ,8,76,N/A,https://i.postimg.cc/RCctYV4s/L029-C-IV48.jpg
L042-330,Walnut,3  1/8 ,1  7/16, 11/16,12,114,N/A,https://i.postimg.cc/yYjZVQJ0/L042-330.jpg
L042-GBK50,Black,3  1/8 ,1  7/16, 11/16,12,114,N/A,https://i.postimg.cc/t4gV73Pw/L042-GBK50.jpg
L043-551,Espresso,3  3/8 ,1  9/16,  7/16,8,76,N/A,https://i.postimg.cc/rp00Nqf9/L043-551.jpg
L045-560,Espresso,4  1/16,1  3/8 ,  7/16,8,76,N/A,https://i.postimg.cc/tgK1r8fG/L045-560.jpg
L046-265,Silver,3  1/4 ,1 13/16,  1/2 ,8,76,N/A,https://i.postimg.cc/cHfvPXyg/L046-265.jpg
L046-BR180,Walnut,3  1/8 ,1  3/4 ,  1/2 ,8,76,N/A,https://i.postimg.cc/VkH0tJW6/L046-BR180.jpg
L059-3053,Espresso,3  1/18,1  7/16,  7/16,8,76,N/A,https://i.postimg.cc/kMFVc1vL/L059-3053.jpg
L061-4017,Charcoal,3  3/16,1  3/4 ,  3/8 ,8,76,N/A,https://i.postimg.cc/3JtkMk6B/L061-4017.jpg
L061-BR1,Espresso,3  3/16,1  3/4 ,  3/8 ,8,76,N/A,https://i.postimg.cc/x8Rc18d9/L061-BR1.jpg
L062-BR210,,3  9/16,1  9/16,  9/16,6,57,N/A,https://thisisnotavalidurlthisisjustaplaceholderforthepicturefunctiontowork.cc/randomimagename.jpg
L062-BR223,,3  9/16,1  9/16,  9/16,6,57,N/A,https://thisisnotavalidurlthisisjustaplaceholderforthepicturefunctiontowork.cc/randomimagename.jpg
L072-1089,Gold,3  3/16,1  3/16,  3/8 ,12,114,N/A,https://i.postimg.cc/90VD2ZCx/L072-1089.jpg
L072-2089,Silver,3  3/16,1  3/16,  3/8 ,12,114,N/A,https://i.postimg.cc/pXWm1f0r/L072-2089.jpg
L088-BK1,Black,3  3/4 ,1  3/16,  1/2 ,12,114,N/A,https://i.postimg.cc/yNZxSvNQ/L088-BK1.jpg
L090-3058,Burgundy,3,1  3/8 ,  1/2 ,12,114,N/A,https://i.postimg.cc/Vk5dzYPc/L090-3058.jpg
L090-5058,Black,3,1  3/8 ,  1/2 ,12,114,N/A,https://i.postimg.cc/YCVj9JtL/L090-5058.jpg
L090-BR300,,3,1  3/8 ,  1/2 ,12,114,N/A,https://thisisnotavalidurlthisisjustaplaceholderforthepicturefunctiontowork.cc/randomimagename.jpg
L090-S329-2,,3,1  3/8 ,  1/2 ,12,114,N/A,https://thisisnotavalidurlthisisjustaplaceholderforthepicturefunctiontowork.cc/randomimagename.jpg
L1002-BR216,Chestnut,4  1/4 ,1  1/4 ,  7/16,8,76,N/A,https://i.postimg.cc/jdSjhs5J/L1002-BR216.jpg
L1002-S269,Grey -Silver,4  1/4 ,1  1/4 ,  7/16,8,76,N/A,https://i.postimg.cc/MK3pPhM3/L1002-S269.jpg
L1003-BR216,Espresso,3  3/8 ,1,  3/8 ,12,114,N/A,https://i.postimg.cc/g2wkfN3z/L1003-BR216.jpg
L1003-G278,Gold,3  3/8 ,1,  3/8 ,12,114,N/A,https://i.postimg.cc/YCJqkYx1/L1003-G278.jpg
L1003R-BR268,Grey,3  3/8 ,1,  3/8 ,12,114,N/A,https://i.postimg.cc/QM1NMC6v/L1003-R-BR268.jpg
