name,color,width,height,rabbet,pcs,ft,condition,img_url,category,mtype
S090-3058,Espresso/Gold,1  1/4 , 15/16,  3/8 ,30,285,closeout,https://i.postimg.cc/6qhTwn2D/S090-3058.jpg,Between 1 and 2 inches,S
S090-5058,Black,1  1/4 , 15/16,  3/8 ,30,285,current,https://i.postimg.cc/SR4jwDs6/S090-5058.jpg,Between 1 and 2 inches,S
S090-6058,White/Gold,1  1/4 , 15/16,  3/8 ,30,285,closeout,https://i.postimg.cc/dQRh8PH4/S090-6058.jpg,Between 1 and 2 inches,S
S1104C-BK109,Black,1  1/4 , 3/4,  7/16 ,35,332.5,current,https://i.postimg.cc/C1nFhZnn/S1104-C-BK109.jpg,Between 1 and 2 inches,S
S1104C-BR300,Burnt,1  1/4 , 3/4,  7/16 ,35,332.5,current,https://i.postimg.cc/43hdyrHv/S1104-C-BR300.jpg,Between 1 and 2 inches,S
S1104E2-BR330,Beige,1  1/4 , 3/4,  7/16 ,35,332.5,current,https://i.postimg.cc/cLzCssC4/S1104-E2-BR330.jpg,Between 1 and 2 inches,S
S1104E2-BR333,Walnut,1  1/4 , 3/4,  7/16 ,35,332.5,current,https://i.postimg.cc/TwMPDCnz/S1104-E2-BR333.jpg,Between 1 and 2 inches,S
S1104SC-BK,Black,1  1/4 ,  3/4 ,  7/16,35,332.5,current,https://i.postimg.cc/7ZbMj8B5/S1104-SC-BK.jpg,Between 1 and 2 inches,S
S1104SC-BR109,Walnut,1  1/4 ,  3/4 ,  7/16,35,332.5,current,https://i.postimg.cc/N0H8f8vY/S1104-SC-BR109.jpg,Between 1 and 2 inches,S
S1105C-BR268,Grey,1,  5/8 ,  3/8 ,35,332.5,current,https://i.postimg.cc/RZpYdjxL/S1105-C-BR268.jpg,Between 1 and 2 inches,S
S1105C-S332,Burnt Silver,1,  5/8 ,  3/8 ,35,332.5,current,https://i.postimg.cc/RZZ8cvy0/S1105-C-S332.jpg,Between 1 and 2 inches,S
S1105SC-BK,Black,1,  5/8 ,  3/8 ,42,399,current,https://i.postimg.cc/tCBNrCz0/S1105-SC-BK.jpg,Between 1 and 2 inches,S
S1105SC-BR109,Walnut,1,  5/8 ,  3/8 ,42,399,current,https://i.postimg.cc/sg89r68w/S1105-SC-BR109.jpg,Between 1 and 2 inches,S
S1105SC-BR263,Bronze,1,  5/8 ,  3/8 ,42,399,current,https://i.postimg.cc/pTMf99Pj/S1105-SC-BR263.jpg,Between 1 and 2 inches,S
S1105SC-S295,Silver,1,  5/8 ,  3/8 ,42,399,current,https://i.postimg.cc/QtgpcXMy/S1105-SC-S295.jpg,Between 1 and 2 inches,S
S1106SC-BK,Black,  3/4 ,  5/8 ,  7/16,81,769.5,current,https://i.postimg.cc/d3qGBzkt/S1106-SC-BK.jpg,Less than 1 inch,S
S1106SC-BR263,Bronze,  3/4 ,  5/8 ,  7/16,81,769.5,closeout,https://i.postimg.cc/13P7RzWj/S1106-SC-BR263.jpg,Less than 1 inch,S
S1126-BR228,Maple,1  3/4 ,1,  7/16,20,190,current,https://i.postimg.cc/gjN8BN8y/S1126-BR228.jpg,Between 1 and 2 inches,S
S1126-BR229,Walnut,1  3/4 ,1,  7/16,20,190,current,https://i.postimg.cc/tR53TCw1/S1126-BR229.jpg,Between 1 and 2 inches,S
S1126-BR230,Black,1  3/4 ,1,  7/16,20,190,current,https://i.postimg.cc/TY3rWvvt/S1126-BR230.jpg,Between 1 and 2 inches,S
S908-BK84,Black,1  5/8 ,1  3/16, 11/16,25,237.5,closeout,https://i.postimg.cc/cCnkCtyV/S908-BK84.jpg,Between 1 and 2 inches,S
S908-BKS,Black/Silver,1  5/8 ,1  3/16, 11/16,25,237.5,closeout,https://i.postimg.cc/gk3BPhKh/S908-BKS.jpg,Between 1 and 2 inches,S
S908-BR196,Espresso/Gold,1  5/8 ,1  3/16, 11/16,25,237.5,closeout,https://i.postimg.cc/k4Zh7FZQ/S908-BR196.jpg,Between 1 and 2 inches,S
