name,color,width,height,rabbet,pcs,ft,condition,img_url,category,mtype
B1103-S309,Silver,1  1/2 ,2  3/8 ,2,12,114,closeout,https://i.postimg.cc/2ysQ8X2d/B1103-S309.jpg,Between 1 and 2 inches,B
B1105-BK,Black,3,2  1/8 ,1  5/8 ,6,57,closeout,https://i.postimg.cc/65wGS52k/B1105-BK.jpg,Between 2 and 3 inches,B
B1105SC-BR109,Walnut,3,2  1/8 ,1  5/8 ,6,57,current,https://i.postimg.cc/BZ1pn0sH/B1105-SC-BR109.jpg,Greater than 3 inches,B
B1105SC-BR263,Bronze,3,2  1/8 ,1  5/8 ,6,57,closeout,https://i.postimg.cc/9XKtprC4/B1105-SC-BR263.jpg,Between 2 and 3 inches,B
B1105SC-S295,Silver,3,2  1/8 ,1  5/8 ,6,57,closeout,https://i.postimg.cc/wjcXg2JJ/B1105-SC-S295.jpg,Between 2 and 3 inches,B
B1106SC-BK,Black,2  1/2 ,1  1/2 ,1,9,85.5,closeout,https://i.postimg.cc/N0s1MX7n/B1106-SC-BK.jpg,Between 2 and 3 inches,B
B1106SC-BR109,Walnut,2  1/2 ,1  1/2 ,1,9,85.5,current,https://i.postimg.cc/ZKtc9MKg/B1106-SC-BR109.jpg,Between 2 and 3 inches,B
B1106SC-BR263,Bronze,2  1/2 ,1  1/2 ,1,9,85.5,current,https://i.postimg.cc/8PRbLm7C/B1106-SC-BR263.jpg,Between 2 and 3 inches,B
B1106SC-S295,Silver,2  1/2 ,1  1/2 ,1,9,85.5,current,https://i.postimg.cc/0y90nKS0/B1106-SC-S295.jpg,Between 2 and 3 inches,B
B1107-BR109,Walnut,1  5/8 ,1  1/2 ,1,20,190,closeout,https://i.postimg.cc/L5kgXG7Q/B1107-BR109.jpg,Between 1 and 2 inches,B
B1107SC-BK,Black,1  5/8 ,1  1/2 ,1,20,190,current,https://i.postimg.cc/QdSkyNkG/B1107-SC-BK.jpg,Between 1 and 2 inches,B
B1107SC-BR109,Walnut,1  5/8 ,1  1/2 ,1,20,190,current,https://i.postimg.cc/QMtkGL0B/B1107-SC-BR109.jpg,Between 1 and 2 inches,B
B1107SC-BR263,Bronze,1  5/8 ,1  1/2 ,1,20,190,closeout,https://i.postimg.cc/jjMyJjMS/B1107-SC-BR263.jpg,Between 1 and 2 inches,B
B1107SC-CR16,Espresso,1  5/8 ,1  1/2 ,1,20,190,current,https://i.postimg.cc/ZnB6szLp/B1107-SC-CR16.jpg,Between 1 and 2 inches,B
B1108ESC-S294,Silver,2  3/4 ,1  5/8 ,1,8,76,closeout,https://i.postimg.cc/mDhC3GnN/B1108-ESC-S294.jpg,Between 2 and 3 inches,B
B1108SC-BK,Black,2  3/4 ,1  5/8 ,1,8,76,current,https://i.postimg.cc/6QmVBHmM/B1108-SC-BK.jpg,Between 2 and 3 inches,B
B1108SC-BR109,Walnut,2  3/4 ,1  5/8 ,1,8,76,current,https://i.postimg.cc/B6PTbTW4/B1108-SC-BR109.jpg,Between 2 and 3 inches,B
B1108SC-BR263,Bronze,2  3/4 ,1  5/8 ,1,8,76,closeout,https://i.postimg.cc/LX7fNbKd/B1108-SC-BR263.jpg,Between 2 and 3 inches,B
B1108SC-S295,Silver,2  3/4 ,1  5/8 ,1,8,76,current,https://i.postimg.cc/4yCz9YZt/B1108-SC-S295.jpg,Between 2 and 3 inches,B
B1363-BK,Black,2 1/8,1  5/8 ,1 1/2,10,95,closeout,https://i.postimg.cc/0jwS30Pz/B1363-BK.jpg,Between 2 and 3 inches,B
B1363-BR299S,Espresso/Silver,2 1/8,1  5/8 ,1 1/2,10,95,closeout,https://i.postimg.cc/jCYfrnSZ/B1363-BR299-S.jpg,Between 2 and 3 inches,B
B1363-GN415,Green,2 1/8,1  5/8 ,1 1/2,10,95,closeout,https://i.postimg.cc/y6kP7R7d/B1363-GN41.jpg,Between 2 and 3 inches,B
B1364-BK,Black,1  7/8 ,1  1/4 ,  3/4 ,16,152,current,https://i.postimg.cc/bYb0j9HR/B1364-BK.jpg,Between 1 and 2 inches,B
B1364-BR299S,Espresso,1  7/8 ,1  1/4 ,  3/4 ,16,152,current,https://i.postimg.cc/qMTsB61H/B1364-BR229.jpg,Between 1 and 2 inches,B
B1364-GN415,Green,1  7/8 ,1  1/4 ,  3/4 ,16,152,current,https://i.postimg.cc/QdNc1GL6/B1364-GN41.jpg,Between 1 and 2 inches,B
B1365-BKS,Black/Silver,1  9/32,  7/8 ,  9/16,36,342,current,https://i.postimg.cc/nrvqYncW/B1365-BKS.jpg,Between 1 and 2 inches,B
B1365-BR299S,Espresso,1  9/32,  7/8 ,  9/16,36,342,current,https://i.postimg.cc/28741jtb/B1365-BR229-S.jpg,Between 1 and 2 inches,B
B1365-GN415,Green,1  9/32,  7/8 ,  9/16,36,342,closeout,https://i.postimg.cc/WpC7z447/B1365-GN41.jpg,Between 1 and 2 inches,B
F006-167,Gold,N/A,N/A,N/A,210,1995,closeout,https://i.postimg.cc/5tsBV4GL/F006-167.jpg,Less than 1 inch,E
F007-G,Gold,N/A,N/A,N/A,210,807.5,current,https://i.postimg.cc/VNdMZqkn/F007-G.jpg,Less than 1 inch,E
G019-CR43,Espresso,4 1/4,1  5/8 ,  3/8 ,10,95,closeout,https://i.postimg.cc/m29yHGzW/G019-CR43.jpg,Greater than 3 inches,E
G045-BR,Walnut,3  3/8 ,1 1/4,  3/8 ,10,95,closeout,https://i.postimg.cc/dVmR5mjW/G045-BR.jpg,Greater than 3 inches,E
